name,height,mass,hair_color,skin_color,eye_color,birth_year,sex,gender,homeworld,species,films,vehicles,starships
Jar Jar Binks,196.0,66.0,none,orange,orange,52.0,male,masculine,Naboo,Gungan,"The Phantom Menace, Attack of the Clones",,
Roos Tarpals,224.0,82.0,none,grey,orange,,male,masculine,Naboo,Gungan,The Phantom Menace,,
Rugor Nass,206.0,,none,green,orange,,male,masculine,Naboo,Gungan,The Phantom Menace,,
Ric Olié,183.0,,brown,fair,blue,,male,masculine,Naboo,Human,The Phantom Menace,,Naboo Royal Starship
Watto,137.0,,black,"blue, grey",yellow,,male,masculine,Toydaria,Toydarian,"The Phantom Menace, Attack of the Clones",,
Sebulba,112.0,40.0,none,"grey, red",orange,,male,masculine,Malastare,Dug,The Phantom Menace,,
Quarsh Panaka,183.0,,black,dark,brown,62.0,male,masculine,Naboo,Human,The Phantom Menace,,
Shmi Skywalker,163.0,,black,fair,brown,72.0,female,feminine,Tatooine,Human,"The Phantom Menace, Attack of the Clones",,
Darth Maul,175.0,80.0,none,red,yellow,54.0,male,masculine,Dathomir,Zabrak,The Phantom Menace,Sith speeder,Scimitar
Bib Fortuna,180.0,,none,pale,pink,,male,masculine,Ryloth,Twi'lek,Return of the Jedi,,
Ayla Secura,178.0,55.0,none,blue,hazel,48.0,female,feminine,Ryloth,Twi'lek,"The Phantom Menace, Attack of the Clones, Revenge of the Sith",,
Ratts Tyerel,79.0,15.0,none,"grey, blue",unknown,,male,masculine,Aleen Minor,Aleena,The Phantom Menace,,
Dud Bolt,94.0,45.0,none,"blue, grey",yellow,,male,masculine,Vulpter,Vulptereen,The Phantom Menace,,
Gasgano,122.0,,none,"white, blue",black,,male,masculine,Troiken,Xexto,The Phantom Menace,,
Ben Quadinaros,163.0,65.0,none,"grey, green, yellow",orange,,male,masculine,Tund,Toong,The Phantom Menace,,
Mace Windu,188.0,84.0,none,dark,brown,72.0,male,masculine,Haruun Kal,Human,"The Phantom Menace, Attack of the Clones, Revenge of the Sith",,
Ki-Adi-Mundi,198.0,82.0,white,pale,yellow,92.0,male,masculine,Cerea,Cerean,"The Phantom Menace, Attack of the Clones, Revenge of the Sith",,
Kit Fisto,196.0,87.0,none,green,black,,male,masculine,Glee Anselm,Nautolan,"The Phantom Menace, Attack of the Clones, Revenge of the Sith",,
Eeth Koth,171.0,,black,brown,brown,,male,masculine,Iridonia,Zabrak,"The Phantom Menace, Revenge of the Sith",,
Adi Gallia,184.0,50.0,none,dark,blue,,female,feminine,Coruscant,Tholothian,"The Phantom Menace, Revenge of the Sith",,
Saesee Tiin,188.0,,none,pale,orange,,male,masculine,Iktotch,Iktotchi,"The Phantom Menace, Revenge of the Sith",,
Yarael Poof,264.0,,none,white,yellow,,male,masculine,Quermia,Quermian,The Phantom Menace,,
Plo Koon,188.0,80.0,none,orange,black,22.0,male,masculine,Dorin,Kel Dor,"The Phantom Menace, Attack of the Clones, Revenge of the Sith",,Jedi starfighter
Mas Amedda,196.0,,none,blue,blue,,male,masculine,Champala,Chagrian,"The Phantom Menace, Attack of the Clones",,
Gregar Typho,185.0,85.0,black,dark,brown,,,,Naboo,,Attack of the Clones,,Naboo fighter
Cordé,157.0,,brown,light,brown,,,,Naboo,,Attack of the Clones,,
Cliegg Lars,183.0,,brown,fair,blue,82.0,male,masculine,Tatooine,Human,Attack of the Clones,,
Poggle the Lesser,183.0,80.0,none,green,yellow,,male,masculine,Geonosis,Geonosian,"Attack of the Clones, Revenge of the Sith",,
Luminara Unduli,170.0,56.2,black,yellow,blue,58.0,female,feminine,Mirial,Mirialan,"Attack of the Clones, Revenge of the Sith",,
Barriss Offee,166.0,50.0,black,yellow,blue,40.0,female,feminine,Mirial,Mirialan,Attack of the Clones,,
Dormé,165.0,,brown,light,brown,,female,feminine,Naboo,Human,Attack of the Clones,,
Dooku,193.0,80.0,white,fair,brown,102.0,male,masculine,Serenno,Human,"Attack of the Clones, Revenge of the Sith",Flitknot speeder,
Bail Prestor Organa,191.0,,black,tan,brown,67.0,male,masculine,Alderaan,Human,"Attack of the Clones, Revenge of the Sith",,
Jango Fett,183.0,79.0,black,tan,brown,66.0,male,masculine,Concord Dawn,Human,Attack of the Clones,,
Zam Wesell,168.0,55.0,blonde,"fair, green, yellow",yellow,,female,feminine,Zolan,Clawdite,Attack of the Clones,Koro-2 Exodrive airspeeder,
Dexter Jettster,198.0,102.0,none,brown,yellow,,male,masculine,Ojom,Besalisk,Attack of the Clones,,
Lama Su,229.0,88.0,none,grey,black,,male,masculine,Kamino,Kaminoan,Attack of the Clones,,
Taun We,213.0,,none,grey,black,,female,feminine,Kamino,Kaminoan,Attack of the Clones,,
Jocasta Nu,167.0,,white,fair,blue,,female,feminine,Coruscant,Human,Attack of the Clones,,
R4-P17,96.0,,none,"silver, red","red, blue",,none,feminine,,Droid,"Attack of the Clones, Revenge of the Sith",,
Wat Tambor,193.0,48.0,none,"green, grey",unknown,,male,masculine,Skako,Skakoan,Attack of the Clones,,
San Hill,191.0,,none,grey,gold,,male,masculine,Muunilinst,Muun,Attack of the Clones,,
Shaak Ti,178.0,57.0,none,"red, blue, white",black,,female,feminine,Shili,Togruta,"Attack of the Clones, Revenge of the Sith",,
Grievous,216.0,159.0,none,"brown, white","green, yellow",,male,masculine,Kalee,Kaleesh,Revenge of the Sith,Tsmeu-6 personal wheel bike,Belbullab-22 starfighter
Tarfful,234.0,136.0,brown,brown,blue,,male,masculine,Kashyyyk,Wookiee,Revenge of the Sith,,
Raymus Antilles,188.0,79.0,brown,light,brown,,male,masculine,Alderaan,Human,"A New Hope, Revenge of the Sith",,
Sly Moore,178.0,48.0,none,pale,white,,,,Umbara,,"Attack of the Clones, Revenge of the Sith",,
Tion Medon,206.0,80.0,none,grey,black,,male,masculine,Utapau,Pau'an,Revenge of the Sith,,
Finn,,,black,dark,dark,,male,masculine,,Human,The Force Awakens,,
Rey,,,brown,light,hazel,,female,feminine,,Human,The Force Awakens,,
Poe Dameron,,,brown,light,brown,,male,masculine,,Human,The Force Awakens,,X-wing
BB8,,,none,none,black,,none,masculine,,Droid,The Force Awakens,,
Captain Phasma,,,none,none,unknown,,female,feminine,,Human,The Force Awakens,,
